Kline open time,Open price,High price,Low price,Close price,Volume,Kline Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,"Unused field, ignore"
10123_0922,1326.85000000,1327.14000000,1326.68000000,1327.01000000,369.30700000,10123_0922,490046.46381700,523,198.95190000,263996.48493800,0
10123_0923,1327.01000000,1327.50000000,1326.72000000,1326.89000000,459.13840000,10123_0923,609354.67702600,631,249.97450000,331741.05670500,0
10123_0924,1326.89000000,1327.19000000,1326.46000000,1327.18000000,78.62380000,10123_0924,104311.21980700,386,51.91190000,68872.01958900,0
10123_0925,1327.19000000,1327.19000000,1326.72000000,1326.73000000,186.00560000,10123_0925,246821.33187000,311,22.73000000,30157.40589200,0
10123_0926,1326.73000000,1327.31000000,1326.47000000,1327.06000000,381.09830000,10123_0926,505662.13968000,429,163.46320000,216868.69070600,0
10123_0927,1327.06000000,1327.58000000,1326.96000000,1327.49000000,220.33400000,10123_0927,292453.36509600,431,103.77830000,137744.39953000,0
10123_0928,1327.50000000,1332.35000000,1327.39000000,1329.92000000,4619.06440000,10123_0928,6144628.08796100,2560,2541.57100000,3380445.23467700,0
10123_0929,1329.92000000,1329.99000000,1327.75000000,1328.88000000,1649.83160000,10123_0929,2192407.07133800,1096,894.79380000,1189009.17749400,0
10123_0930,1328.88000000,1329.83000000,1328.55000000,1328.56000000,668.60130000,10123_0930,888699.43806000,667,224.85340000,298845.80419200,0
10123_0931,1328.56000000,1328.59000000,1327.88000000,1328.00000000,399.10030000,10123_0931,530101.98945800,443,160.90250000,213694.92980000,0
10123_0932,1327.99000000,1328.28000000,1327.70000000,1327.71000000,179.83470000,10123_0932,238835.25098500,351,103.05800000,136869.75807100,0
10123_0933,1327.71000000,1328.38000000,1327.70000000,1328.38000000,210.16800000,10123_0933,279107.78605800,321,161.79010000,214849.36103300,0
10123_0934,1328.38000000,1328.85000000,1328.20000000,1328.21000000,178.87250000,10123_0934,237661.94516800,458,38.27840000,50856.14364200,0
10123_0935,1328.20000000,1328.21000000,1327.27000000,1327.27000000,132.00880000,10123_0935,175270.84490700,294,57.21870000,75963.33993500,0
10123_0936,1327.27000000,1327.58000000,1327.27000000,1327.48000000,63.46590000,10123_0936,84245.07725200,331,30.61120000,40630.48223700,0
10123_0937,1327.48000000,1327.49000000,1326.01000000,1326.43000000,621.16110000,10123_0937,824124.56767900,595,101.65350000,134827.21533500,0
10123_0938,1326.44000000,1326.44000000,1326.28000000,1326.32000000,102.84690000,10123_0938,136412.06410100,309,42.00180000,55707.24360100,0
10123_0939,1326.31000000,1326.43000000,1326.00000000,1326.00000000,76.94140000,10123_0939,102049.31985700,272,34.80880000,46168.17894700,0
10123_0940,1326.00000000,1326.38000000,1326.00000000,1326.37000000,173.43900000,10123_0940,230020.65281300,381,104.72980000,138893.02890700,0
10123_0941,1326.38000000,1326.59000000,1326.37000000,1326.58000000,149.17950000,10123_0941,197882.21278800,295,106.85250000,141737.70645300,0
1673340120000,1326.58000000,1327.21000000,1326.58000000,1327.20000000,87.38580000,1673340179999,115949.52585600,294,67.10560000,89038.33512400,0
